fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"352",Nungo,MZ081003,Marrupa,MZ0810,Niassa,MZ08,"9488","1898","3265","1","0","16","47"
"353",Ocua,MZ010306,Chiure,MZ0103,Cabo Delgado,MZ01,"57763","11553","1048","4","0","15","54"
"354",Olumbi,MZ011601,Palma,MZ0116,Cabo Delgado,MZ01,"11791","2358","1232","2","0","15","54"
"355",Pafuri,MZ020301,Chicualacuala,MZ0203,Gaza,MZ02,"7038","1408","7061","1","0","46","35"
"356",Palma,MZ011602,Palma,MZ0116,Cabo Delgado,MZ01,"33138","6628","899","2","0","15","54"
"357",Palmeira,MZ050405,Manhiça,MZ0504,Maputo,MZ05,"47889","9578","566","8","0","96","14"
"358",Panda,MZ031202,Panda,MZ0312,Inhambane,MZ03,"38736","7747","2775","3","0","20","36"
"359",Panjane,MZ050305,Magude,MZ0503,Maputo,MZ05,"4616","923","663","1","0","96","14"
"360",Papai,MZ011406,Namuno,MZ0114,Cabo Delgado,MZ01,"18436","3687","923","1","0","15","54"
"361",Pebane,MZ112303,Pebane,MZ1123,Zambezia,MZ11,"84019","16804","1471","6","1","13","53"
"362",Pembe,MZ030402,Homoine,MZ0304,Inhambane,MZ03,"23700","4740","880","5","0","20","36"
"363",Pessene,MZ050702,Moamba,MZ0507,Maputo,MZ05,"20981","4196","546","3","0","96","14"
"364",Praia De Bilene,MZ020105,Bilene,MZ0201,Gaza,MZ02,"13244","2649","291","1","0","46","35"
"365",Pundanhar,MZ011603,Palma,MZ0116,Cabo Delgado,MZ01,"6079","1216","785","1","0","15","54"
"366",Quinga,MZ070702,Liúpo,MZ0707,Nampula,MZ07,"155330","31066","758","4","0","23","45"
"367",Quionga,MZ011604,Palma,MZ0116,Cabo Delgado,MZ01,"7362","1472","607","1","0","15","54"
"368",Quirimba,MZ010502,Ibo,MZ0105,Cabo Delgado,MZ01,"2184","437","16","0","0","15","54"
"369",Quissanga,MZ011803,Quissanga,MZ0118,Cabo Delgado,MZ01,"5002","1000","455","3","0","15","54"
